,title,genres,rating,rating_voters,season,studio,origin,pg,type,episode_count
502,Созданный в Бездне: Начало путешествия,Детектив;Драма;Приключения;Фантастика;Фэнтези,9.2,2697.0,,Kinema Citrus,Фильм,18+,Фильм,1
503,Королевский репетитор: Фильм,Исторический;Комедия;Повседневность;Сэйнэн,8.6,1044.0,,,Фильм,16+,Фильм,1
504,История империи Тиамун,Комедия;Фэнтези,7.7,2279.0,Осень 2023,Silver Link,ТВ Сериал,16+,ТВ Сериал,12
505,Капитан Цубаса,Сёнэн;Спорт;Экшен,6.4,123.0,Весна 2018,David Production,ТВ Сериал,16+,ТВ Сериал,52
506,Вайолет Эвергарден. Фильм,Драма;Повседневность;Фэнтези,9.5,9795.0,,Kyoto Animation,Фильм,16+,Фильм,1
507,В другом мире со смартфоном,Гарем;Комедия;Магия;Приключения;Романтика;Фэнтези,7.4,11261.0,Лето 2017,Production Reed,ТВ Сериал,16+,ТВ Сериал,12
508,Граница пустоты 5: Спираль парадокса,Детектив;Драма;Романтика;Сверхъестественное;Триллер;Экшен,8.8,602.0,,ufotable,Фильм,18+,Фильм,1
509,Код Гиас: Вернувшийся Розе,Военное;Драма;Меха;Супер сила;Фантастика;Экшен,4.9,849.0,,Sunrise,ONA,18+,ONA,12
510,Врата Штейна: Зона загрузки дежавю,Триллер;Фантастика,9.2,3619.0,,White Fox,Фильм,16+,Фильм,1
511,Радость подъема: Воспоминания,Комедия;Повседневность;Приключения,5.5,106.0,,8bit,OVA,16+,OVA,1
512,Штурмовые ведьмы,Военное;Магия;Фантастика;Экшен;Этти,7.4,384.0,Лето 2008,Gonzo,ТВ Сериал,18+,ТВ Сериал,12
513,Цугумомо,Комедия;Сверхъестественное;Сэйнэн;Школа;Экшен;Этти,8.0,1526.0,Весна 2017,Zero-G,ТВ Сериал,18+,ТВ Сериал,12
514,Боевой континент 4,Боевые искусства;Исторический;Приключения;Романтика;Фэнтези;Экшен,8.4,630.0,,,ONA,16+,ONA,13
515,Доктор Стоун: Каменные войны,Комедия;Приключения;Сёнэн;Фантастика,9.2,20861.0,Зима 2021,TMS Entertainment,ТВ Сериал,16+,ТВ Сериал,11
516,Полноценная жизнь онлайн: Спешл,Игры;Комедия;Романтика,8.4,1097.0,,Signal. MD,Спешл,16+,Спешл,1
517,Ведущие звёзды,Драма;Комедия;Спорт;Школа,8.4,694.0,Зима 2021,J.C. Staff,ТВ Сериал,12+,ТВ Сериал,12
518,Эпоха смут 2,Боевые искусства;Исторический;Самураи;Супер сила;Экшен,6.9,133.0,Лето 2010,Production I.G,ТВ Сериал,16+,ТВ Сериал,12
519,Семья шпиона. Часть 2,Комедия;Сёнэн;Экшен,9.1,22044.0,Осень 2022,CloverWorks,ТВ Сериал,16+,ТВ Сериал,13
520,"По правде говоря, я...",Вампиры;Гарем;Комедия;Романтика;Сёнэн;Фэнтези;Школа,7.6,1369.0,Лето 2015,TMS Entertainment,ТВ Сериал,16+,ТВ Сериал,13
